Year,Units,Value
2019/20,Rate of fatal injuries,0.26
2018/19,Rate of fatal injuries,0.0
2017/18,Rate of fatal injuries,0.27
2016/17,Rate of fatal injuries,0.0
2015/16,Rate of fatal injuries,0.0
2014/15,Rate of fatal injuries,0.0
2019/20,Rate of reported non-fatal injuries,156.0
2018/19,Rate of reported non-fatal injuries,156.0
2017/18,Rate of reported non-fatal injuries,166.0
2016/17,Rate of reported non-fatal injuries,184.0
2015/16,Rate of reported non-fatal injuries,190.0
2014/15,Rate of reported non-fatal injuries,206.0
