Year,Value,Units
2004,305.1,"Business stock (per 10,000 population)"
2005,306.1,"Business stock (per 10,000 population)"
2006,313.47,"Business stock (per 10,000 population)"
2007,323.19,"Business stock (per 10,000 population)"
2008,326.84,"Business stock (per 10,000 population)"
2009,321.35,"Business stock (per 10,000 population)"
2010,325.93,"Business stock (per 10,000 population)"
2011,328.27,"Business stock (per 10,000 population)"
2012,330.02,"Business stock (per 10,000 population)"
2013,343.69,"Business stock (per 10,000 population)"
2014,357.42,"Business stock (per 10,000 population)"
2015,365.19,"Business stock (per 10,000 population)"
2016,380.02,"Business stock (per 10,000 population)"
2017,376.48,"Business stock (per 10,000 population)"
2018,419.01,"Business stock (per 10,000 population)"
2019,431.61,"Business stock (per 10,000 population)"
2010,7.1,City Unemployment rate (percent)
2011,8.0,City Unemployment rate (percent)
2012,7.4,City Unemployment rate (percent)
2013,8.0,City Unemployment rate (percent)
2014,7.2,City Unemployment rate (percent)
2015,5.4,City Unemployment rate (percent)
2016,5.0,City Unemployment rate (percent)
2017,4.0,City Unemployment rate (percent)
2018,3.8,City Unemployment rate (percent)
