Year,Units,Value
2010,Number of people sleeping rough,8
2011,Number of people sleeping rough,8
2012,Number of people sleeping rough,9
2013,Number of people sleeping rough,41
2014,Number of people sleeping rough,41
2015,Number of people sleeping rough,97
2016,Number of people sleeping rough,74
2017,Number of people sleeping rough,86
2018,Number of people sleeping rough,82
2019,Number of people sleeping rough,98
2019,Number of households owed a prevention or relief duty,"2,089"
2018,Number of households owed a prevention or relief duty,"1,722"
