Year,Units,Value
2019/20,Rate of fatal injuries,0.26
2018/19,Rate of fatal injuries,0.00
2017/18,Rate of fatal injuries,0.27
2016/17,Rate of fatal injuries,0.00
2015/16,Rate of fatal injuries,0.00
2014/15,Rate of fatal injuries,0.00
2019/20,Rate of reported non-fatal injuries ,156
2018/19,Rate of reported non-fatal injuries ,156
2017/18,Rate of reported non-fatal injuries ,166
2016/17,Rate of reported non-fatal injuries ,184
2015/16,Rate of reported non-fatal injuries ,190
2014/15,Rate of reported non-fatal injuries ,206
