Year,Cause,sex,Value
2013,A04 Other bacterial intestinal infections,,1.49
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,2.72
2013,A04 Other bacterial intestinal infections,Male,2.06
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,2.85
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.62
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.78
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0.86
2017,A04 Other bacterial intestinal infections,,0.95
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0.98
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.19
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0.87
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,2.42
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,1.77
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,3.09
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,2.8
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,3.31
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,1.38
2017,A04 Other bacterial intestinal infections,Female,1.66
2013,,,4.51
2014,,,2.56
2015,,,2.53
2016,,,1.44
2017,,,2.09
2018,,,1.74
2019,,,1.15
2013,,Male,4.91
2017,,Male,2.42
2018,,Male,1.77
2013,,Female,4.4
2014,,Female,3.87
2015,,Female,4.65
2016,,Female,2.29
2017,,Female,2
2018,,Female,1.49
2019,,Female,1.42
