Year,Group,Value
2010,People who feel crime has gotten worse in their area in the last 3 years,19.5
2011,People who feel crime has gotten worse in their area in the last 3 years,18.3
2012,People who feel crime has gotten worse in their area in the last 3 years,16.7
2013,People who feel crime has gotten worse in their area in the last 3 years,14.4
2014,People who feel crime has gotten worse in their area in the last 3 years,20.2
2015,People who feel crime has gotten worse in their area in the last 3 years,17.4
2016,People who feel crime has gotten worse in their area in the last 3 years,
2017,People who feel crime has gotten worse in their area in the last 3 years,24
2018,People who feel crime has gotten worse in their area in the last 3 years,28
2010,Proportion respondents who visit parks and open spaces at least once a week,37.2
2011,Proportion respondents who visit parks and open spaces at least once a week,37
2012,Proportion respondents who visit parks and open spaces at least once a week,36.2
2013,Proportion respondents who visit parks and open spaces at least once a week,37.9
2014,Proportion respondents who visit parks and open spaces at least once a week,50.1
2015,Proportion respondents who visit parks and open spaces at least once a week,54.6
2016,Proportion respondents who visit parks and open spaces at least once a week,
2017,Proportion respondents who visit parks and open spaces at least once a week,55.7
2018,Proportion respondents who visit parks and open spaces at least once a week,49.7
