Year,Value,Units
2004,23.4,Public Sector
2005,23.3,Public Sector
2006,25.4,Public Sector
2007,25.4,Public Sector
2008,25.8,Public Sector
2009,26.0,Public Sector
2010,23.4,Public Sector
2011,26.7,Public Sector
2012,26.6,Public Sector
2013,22.2,Public Sector
2014,22.7,Public Sector
2015,26.0,Public Sector
2016,25.1,Public Sector
2017,26.3,Public Sector
2018,25.1,Public Sector
2019,24.8,Public Sector
2004,76.6,Private Sector
2005,76.7,Private Sector
2006,74.6,Private Sector
2007,74.6,Private Sector
2008,74.2,Private Sector
2009,74.0,Private Sector
2010,76.6,Private Sector
2011,73.3,Private Sector
2012,73.4,Private Sector
2013,77.8,Private Sector
2014,77.3,Private Sector
2015,74.0,Private Sector
2016,74.9,Private Sector
2017,73.7,Private Sector
2018,74.9,Private Sector
2019,75.2,Private Sector
