Year,Value,Units
2008,54.79726806,Alcohol-related mortality
2009,53.92887046,Alcohol-related mortality
2010,52.92821441,Alcohol-related mortality
2011,52.50952533,Alcohol-related mortality
2012,52.45795872,Alcohol-related mortality
2013,55.89702053,Alcohol-related mortality
2014,53.17134535,Alcohol-related mortality
2015,52.6811263,Alcohol-related mortality
2016,50.6430646,Alcohol-related mortality
2017,54.83040684,Alcohol-related mortality
2018,56.76029457,Alcohol-related mortality
2008/09,777.8865327,Admission episodes for alcohol-related conditions (Narrow)
2009/10,802.4314199,Admission episodes for alcohol-related conditions (Narrow)
2010/11,803.1154091,Admission episodes for alcohol-related conditions (Narrow)
2011/12,755.1156185,Admission episodes for alcohol-related conditions (Narrow)
2012/13,720.7895275,Admission episodes for alcohol-related conditions (Narrow)
2013/14,773.407551,Admission episodes for alcohol-related conditions (Narrow)
2014/15,774.2687981,Admission episodes for alcohol-related conditions (Narrow)
2015/16,800.0375075,Admission episodes for alcohol-related conditions (Narrow)
2016/17,774.2614598,Admission episodes for alcohol-related conditions (Narrow)
2017/18,810.4377116,Admission episodes for alcohol-related conditions (Narrow)
2018/19,855.88,Admission episodes for alcohol-related conditions (Narrow)
2008/09,812.4499376,Admission episodes for alcohol-specific conditions (Broad)
2009/10,843.3189168,Admission episodes for alcohol-specific conditions (Broad)
2010/11,867.2423725,Admission episodes for alcohol-specific conditions (Broad)
2011/12,874.6977139,Admission episodes for alcohol-specific conditions (Broad)
2012/13,840.5787946,Admission episodes for alcohol-specific conditions (Broad)
2013/14,832.6499575,Admission episodes for alcohol-specific conditions (Broad)
2014/15,928.056553,Admission episodes for alcohol-specific conditions (Broad)
2015/16,907.228771,Admission episodes for alcohol-specific conditions (Broad)
2016/17,928.9483056,Admission episodes for alcohol-specific conditions (Broad)
2017/18,939.232439,Admission episodes for alcohol-specific conditions (Broad)
2018/19,1045.04,Admission episodes for alcohol-specific conditions (Broad)
